,type,id,properties.mag,properties.place,properties.time,properties.updated,properties.tz,properties.url,properties.detail,properties.felt,properties.cdi,properties.mmi,properties.alert,properties.status,properties.tsunami,properties.sig,properties.net,properties.code,properties.ids,properties.sources,properties.types,properties.nst,properties.dmin,properties.rms,properties.gap,properties.magType,properties.type,properties.title,geometry.type,geometry.coordinates
14,Feature,ak0172oag3lt,1.7,"64 km N of Petersville, Alaska",1488234602254,1560872177258,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172oag3lt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172oag3lt&format=geojson,,,,,reviewed,0,44,ak,0172oag3lt,",ak15423308,ak0172oag3lt,",",ak,ak,",",associate,origin,phase-data,",,,0.59,,ml,earthquake,"M 1.7 - 64 km N of Petersville, Alaska",Point,"[-150.7286, 63.0792, 107.3]"
15,Feature,nn00580280,1.2,"30 km ENE of Bridgeport, California",1488233580849,1530556016033,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00580280,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00580280&format=geojson,,,,,reviewed,0,22,nn,00580280,",nn00580280,",",nn,",",origin,phase-data,",16.0,0.011,0.1221,82.75,ml,earthquake,"M 1.2 - 30 km ENE of Bridgeport, California",Point,"[-118.9088, 38.3574, 8.8]"
16,Feature,nc72768651,0.52,"12 km WSW of Aspen Springs, California",1488232343280,1488235262046,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72768651,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72768651&format=geojson,,,,,reviewed,0,4,nc,72768651,",nc72768651,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.07211,0.1,235.0,md,earthquake,"M 0.5 - 12 km WSW of Aspen Springs, California",Point,"[-118.8418333, 37.5185, 2.47]"
17,Feature,nc72768646,0.5,"7 km W of Aspen Springs, California",1488232129020,1488234483022,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72768646,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72768646&format=geojson,,,,,reviewed,0,4,nc,72768646,",nc72768646,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.05225,0.05,312.0,md,earthquake,"M 0.5 - 7 km W of Aspen Springs, California",Point,"[-118.7966667, 37.5445, -1.77]"
18,Feature,nc72768641,1.09,"5 km WSW of Cobb, California",1488231536900,1488506654444,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72768641,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72768641&format=geojson,,,,,reviewed,0,18,nc,72768641,",nc72768641,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",30.0,0.006196,0.05,100.0,md,earthquake,"M 1.1 - 5 km WSW of Cobb, California",Point,"[-122.78, 38.7935, 3.01]"
19,Feature,nn00580271,1.2,"30 km SSW of Hawthorne, Nevada",1488231106643,1530556015918,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00580271,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00580271&format=geojson,,,,,reviewed,0,22,nn,00580271,",nn00580271,",",nn,",",origin,phase-data,",9.0,0.161,0.1385,124.06,ml,earthquake,"M 1.2 - 30 km SSW of Hawthorne, Nevada",Point,"[-118.7094, 38.254, 10.4]"
20,Feature,nn00580264,0.6,"30 km SE of Mina, Nevada",1488231051262,1530556015807,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00580264,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00580264&format=geojson,,,,,reviewed,0,6,nn,00580264,",nn00580264,",",nn,",",origin,phase-data,",11.0,0.259,0.0839,120.45,ml,earthquake,"M 0.6 - 30 km SE of Mina, Nevada",Point,"[-117.8239, 38.2348, 11.9]"
21,Feature,nc72768636,0.65,"15 km SW of Aspen Springs, California",1488231003130,1488233102985,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72768636,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72768636&format=geojson,,,,,reviewed,0,6,nc,72768636,",nc72768636,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.1362,0.02,141.0,md,earthquake,"M 0.7 - 15 km SW of Aspen Springs, California",Point,"[-118.8363333, 37.4536667, 6.2]"
22,Feature,ak0172o9tn92,0.9,"73 km ESE of McKinley Park, Alaska",1488230725981,1560872176775,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172o9tn92,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172o9tn92&format=geojson,,,,,reviewed,0,12,ak,0172o9tn92,",ak15447740,ak0172o9tn92,",",ak,ak,",",associate,origin,phase-data,",,,0.51,,ml,earthquake,"M 0.9 - 73 km ESE of McKinley Park, Alaska",Point,"[-147.4846, 63.5562, 4.8]"
23,Feature,ak0172o9rzf8,1.3,northern Alaska,1488230270600,1560872176326,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172o9rzf8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172o9rzf8&format=geojson,,,,,reviewed,0,26,ak,0172o9rzf8,",ak15422118,ak0172o9rzf8,",",ak,ak,",",associate,origin,phase-data,",,,0.56,,ml,earthquake,M 1.3 - northern Alaska,Point,"[-144.7436, 65.4573, 5.9]"
24,Feature,nc72768631,2.09,"1 km SW of Calpella, California",1488230057440,1488308524208,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72768631,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72768631&format=geojson,,,,,reviewed,0,67,nc,72768631,",nc72768631,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",25.0,0.06772,0.05,68.0,md,earthquake,"M 2.1 - 1 km SW of Calpella, California",Point,"[-123.2165, 39.2223333, 5.76]"
25,Feature,ak0172o9q9pf,1.0,"24 km SSW of Minto, Alaska",1488229790758,1560872175883,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172o9q9pf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172o9q9pf&format=geojson,,,,,reviewed,0,15,ak,0172o9q9pf,",ak15422115,ak0172o9q9pf,",",ak,ak,",",associate,origin,phase-data,",,,0.39,,ml,earthquake,"M 1.0 - 24 km SSW of Minto, Alaska",Point,"[-149.453, 64.9333, 21.3]"
26,Feature,us100087i9,4.4,"36 km SW of Nueva Concepción, Guatemala",1488229633860,1495594090040,,https://earthquake.usgs.gov/earthquakes/eventpage/us100087i9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us100087i9&format=geojson,,,,,reviewed,0,298,us,100087i9,",us100087i9,",",us,",",origin,phase-data,",,0.525,0.67,165.0,mb,earthquake,"M 4.4 - 36 km SW of Nueva Concepción, Guatemala",Point,"[-91.5787, 14.0088, 61.82]"
27,Feature,ak0172o9pm7k,1.0,"26 km S of Minto, Alaska",1488229606243,1560872175460,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172o9pm7k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172o9pm7k&format=geojson,,,,,reviewed,0,15,ak,0172o9pm7k,",ak15422110,ak0172o9pm7k,",",ak,ak,",",associate,origin,phase-data,",,,0.42,,ml,earthquake,"M 1.0 - 26 km S of Minto, Alaska",Point,"[-149.3684, 64.916, 19.8]"
28,Feature,nn00580279,0.0,"30 km SSW of Hawthorne, Nevada",1488229565826,1530556013908,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00580279,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00580279&format=geojson,,,,,reviewed,0,0,nn,00580279,",nn00580279,",",nn,",",origin,phase-data,",5.0,0.169,0.0451,179.52,ml,earthquake,"M 0.0 - 30 km SSW of Hawthorne, Nevada",Point,"[-118.7202, 38.2589, 6.4]"
29,Feature,ak0172o9pejv,0.9,"25 km S of Minto, Alaska",1488229546993,1560872175041,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172o9pejv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172o9pejv&format=geojson,,,,,reviewed,0,12,ak,0172o9pejv,",ak15422111,ak0172o9pejv,",",ak,ak,",",associate,origin,phase-data,",,,0.5,,ml,earthquake,"M 0.9 - 25 km S of Minto, Alaska",Point,"[-149.4296, 64.9214, 20.6]"
30,Feature,nn00580278,1.2,"30 km SSW of Hawthorne, Nevada",1488229504484,1530556015712,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00580278,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00580278&format=geojson,,,,,reviewed,0,22,nn,00580278,",nn00580278,",",nn,",",origin,phase-data,",6.0,0.161,0.095,150.98,ml,earthquake,"M 1.2 - 30 km SSW of Hawthorne, Nevada",Point,"[-118.7099, 38.2577, 10.1]"
31,Feature,us20008msd,3.4,"30 km SE of Wright, Wyoming",1488229500260,1495594090040,,https://earthquake.usgs.gov/earthquakes/eventpage/us20008msd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us20008msd&format=geojson,,,,,reviewed,0,178,us,20008msd,",us20008msd,",",us,",",origin,phase-data,",,0.989,1.24,52.0,ml,mining explosion,"M 3.4 Mining Explosion - 30 km SE of Wright, Wyoming",Point,"[-105.1858, 43.5855, 0]"
32,Feature,nc72768621,1.69,"6 km S of Cobb, California",1488227827560,1494547068060,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72768621,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72768621&format=geojson,,,,,reviewed,0,44,nc,72768621,",nc72768621,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",34.0,0.009787,0.09,78.0,md,earthquake,"M 1.7 - 6 km S of Cobb, California",Point,"[-122.7375, 38.7608333, 0.98]"
33,Feature,nn00580261,-0.1,"45 km ESE of Beatty, Nevada",1488227631648,1530556013813,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00580261,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00580261&format=geojson,,,,,reviewed,0,0,nn,00580261,",nn00580261,",",nn,",",origin,phase-data,",11.0,0.06,0.1468,76.69,ml,earthquake,"M -0.1 - 45 km ESE of Beatty, Nevada",Point,"[-116.3183, 36.7032, 8.2]"
34,Feature,nc72768611,1.5,"8 km WSW of Cobb, California",1488226763700,1488506042605,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72768611,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72768611&format=geojson,,,,,reviewed,0,35,nc,72768611,",nc72768611,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",38.0,0.01254,0.07,111.0,md,earthquake,"M 1.5 - 8 km WSW of Cobb, California",Point,"[-122.8146667, 38.8035, 3.26]"
35,Feature,uw61252946,0.69,"8 km NE of Government Camp, Oregon",1488226664370,1488231854330,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61252946,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61252946&format=geojson,,,,,reviewed,0,7,uw,61252946,",uw61252946,",",uw,",",origin,phase-data,",4.0,0.02965,0.04,148.0,ml,earthquake,"M 0.7 - 8 km NE of Government Camp, Oregon",Point,"[-121.6808333, 45.3568333, 4.62]"
36,Feature,ak0172o9617f,1.4,"49 km WNW of Beluga, Alaska",1488226509398,1560872174581,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172o9617f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172o9617f&format=geojson,,,,,reviewed,0,30,ak,0172o9617f,",ak15420905,ak0172o9617f,",",ak,ak,",",associate,origin,phase-data,",,,0.32,,ml,earthquake,"M 1.4 - 49 km WNW of Beluga, Alaska",Point,"[-151.9569, 61.2694, 95]"
37,Feature,nn00580259,-0.6,"45 km ESE of Beatty, Nevada",1488226412318,1530556013715,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00580259,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00580259&format=geojson,,,,,reviewed,0,0,nn,00580259,",nn00580259,",",nn,",",origin,phase-data,",9.0,0.055,0.0626,78.01,ml,earthquake,"M -0.6 - 45 km ESE of Beatty, Nevada",Point,"[-116.322, 36.6985, 7.6]"
38,Feature,mb80200889,1.38,"5 km E of Butte, Montana",1488225877270,1488298650580,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80200889,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80200889&format=geojson,,,,,reviewed,0,29,mb,80200889,",mb80200889,",",mb,",",origin,phase-data,",9.0,0.063,0.1,82.0,ml,quarry blast,"M 1.4 Quarry Blast - 5 km E of Butte, Montana",Point,"[-112.4673333, 46.0048333, -2]"
39,Feature,us10008kaq,3.1,"19 km ESE of Wright, Wyoming",1488225620330,1495594090040,,https://earthquake.usgs.gov/earthquakes/eventpage/us10008kaq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us10008kaq&format=geojson,,,,,reviewed,0,148,us,10008kaq,",us10008kaq,",",us,",",origin,phase-data,",,0.992,1.36,76.0,ml,mining explosion,"M 3.1 Mining Explosion - 19 km ESE of Wright, Wyoming",Point,"[-105.2707, 43.6882, 0]"
40,Feature,nc72768596,1.61,"5 km WNW of Cobb, California",1488225348610,1488504843566,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72768596,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72768596&format=geojson,,,,,reviewed,0,40,nc,72768596,",nc72768596,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",40.0,0.003368,0.04,62.0,md,earthquake,"M 1.6 - 5 km WNW of Cobb, California",Point,"[-122.7878333, 38.8356667, 1.69]"
41,Feature,pr17058005,2.9,"4 km W of Maricao, Puerto Rico",1488224874500,1495594090040,,https://earthquake.usgs.gov/earthquakes/eventpage/pr17058005,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr17058005&format=geojson,,,,,REVIEWED,0,129,pr,17058005,",us20008mtd,pr17058005,",",us,pr,",",origin,phase-data,",4.0,0.19044284,0.31,136.8,Md,earthquake,"M 2.9 - 4 km W of Maricao, Puerto Rico",Point,"[-67.0227, 18.1788, 127]"
42,Feature,us100087ib,4.2,off the west coast of northern Sumatra,1488224095160,1495594090040,,https://earthquake.usgs.gov/earthquakes/eventpage/us100087ib,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us100087ib&format=geojson,,,,,reviewed,0,271,us,100087ib,",us100087ib,",",us,",",origin,phase-data,",,7.435,0.8,199.0,mb,earthquake,M 4.2 - off the west coast of northern Sumatra,Point,"[90.0269, 2.4497, 10]"
43,Feature,ak0172o8oha2,1.4,"54 km SSW of Skwentna, Alaska",1488223999624,1560872174095,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172o8oha2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172o8oha2&format=geojson,,,,,reviewed,0,30,ak,0172o8oha2,",ak15447734,ak0172o8oha2,",",ak,ak,",",associate,origin,phase-data,",,,0.35,,ml,earthquake,"M 1.4 - 54 km SSW of Skwentna, Alaska",Point,"[-151.8431, 61.5516, 81.4]"
44,Feature,ak0172o8n86w,1.0,"94 km ENE of McCarthy, Alaska",1488223655284,1560872172640,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172o8n86w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172o8n86w&format=geojson,,,,,reviewed,0,15,ak,0172o8n86w,",ak15420903,ak0172o8n86w,",",ak,ak,",",associate,origin,phase-data,",,,0.61,,ml,earthquake,"M 1.0 - 94 km ENE of McCarthy, Alaska",Point,"[-141.2078, 61.6665, 0.1]"
45,Feature,nn00580248,1.1,"30 km WSW of Hawthorne, Nevada",1488223462543,1530556015617,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00580248,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00580248&format=geojson,,,,,reviewed,0,19,nn,00580248,",nn00580248,",",nn,",",origin,phase-data,",9.0,0.052,0.1361,236.29,ml,earthquake,"M 1.1 - 30 km WSW of Hawthorne, Nevada",Point,"[-118.9337, 38.3989, 7.7]"
46,Feature,nn00580246,1.1,"17 km ENE of Yerington, Nevada",1488223018778,1530556013615,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00580246,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00580246&format=geojson,,,,,reviewed,0,19,nn,00580246,",nn00580246,",",nn,",",origin,phase-data,",11.0,0.213,0.1073,95.77,ml,earthquake,"M 1.1 - 17 km ENE of Yerington, Nevada",Point,"[-118.9915, 39.0728, 6.9]"
47,Feature,nn00580233,2.6,"17 km NE of Yerington, Nevada",1488222362362,1530556015477,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00580233,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00580233&format=geojson,,,,,reviewed,0,104,nn,00580233,",us20008ms1,nn00580233,",",us,nn,",",origin,phase-data,",25.0,0.21,0.1442,95.82,ml,earthquake,"M 2.6 - 17 km NE of Yerington, Nevada",Point,"[-118.9957, 39.0747, 6.9]"
48,Feature,hv61622856,1.42,"7 km SW of Volcano, Hawaii",1488221759640,1594069320450,,https://earthquake.usgs.gov/earthquakes/eventpage/hv61622856,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv61622856&format=geojson,,,,,reviewed,0,31,hv,61622856,",hv61622856,",",hv,",",origin,phase-data,",23.0,,0.07,54.0,md,earthquake,"M 1.4 - 7 km SW of Volcano, Hawaii",Point,"[-155.2785, 19.3908333, 1.57]"
49,Feature,hv61622861,0.97,"31 km ENE of Honaunau-Napoopoo, Hawaii",1488221747550,1594069320310,,https://earthquake.usgs.gov/earthquakes/eventpage/hv61622861,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv61622861&format=geojson,,,,,reviewed,0,14,hv,61622861,",hv61622861,",",hv,",",origin,phase-data,",16.0,,0.1,61.0,md,earthquake,"M 1.0 - 31 km ENE of Honaunau-Napoopoo, Hawaii",Point,"[-155.5731667, 19.5163333, 8.99]"
50,Feature,ak0172o84b7t,1.6,"3 km N of Point MacKenzie, Alaska",1488220749853,1560872172214,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172o84b7t,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172o84b7t&format=geojson,,,,,reviewed,0,39,ak,0172o84b7t,",ak15420898,ak0172o84b7t,",",ak,ak,",",associate,origin,phase-data,",,,0.54,,ml,earthquake,"M 1.6 - 3 km N of Point MacKenzie, Alaska",Point,"[-149.9866, 61.3928, 31.4]"
51,Feature,ak15420900,2.8,"Southern Yukon Territory, Canada",1488220731117,1488820566616,,https://earthquake.usgs.gov/earthquakes/eventpage/ak15420900,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak15420900&format=geojson,,,,,reviewed,0,121,ak,15420900,",ak15420900,",",ak,",",origin,phase-data,",,,0.69,,ml,earthquake,"M 2.8 - Southern Yukon Territory, Canada",Point,"[-133.4225, 64.8095, 29.3]"
52,Feature,ak0172o83po8,0.3,"25 km NNE of Four Mile Road, Alaska",1488220590643,1560872171689,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172o83po8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172o83po8&format=geojson,,,,,reviewed,0,1,ak,0172o83po8,",ak15420897,ak0172o83po8,",",ak,ak,",",associate,origin,phase-data,",,,0.4,,ml,earthquake,"M 0.3 - 25 km NNE of Four Mile Road, Alaska",Point,"[-148.8609, 64.8056, 23.4]"
53,Feature,ak0172o839ty,-0.2,"61 km SE of Pedro Bay, Alaska",1488220465341,1560872171266,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172o839ty,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172o839ty&format=geojson,,,,,reviewed,0,0,ak,0172o839ty,",ak15420896,ak0172o839ty,",",ak,ak,",",associate,origin,phase-data,",,,0.16,,ml,earthquake,"M -0.2 - 61 km SE of Pedro Bay, Alaska",Point,"[-153.4299, 59.3545, 0]"
54,Feature,mb80200879,0.5,"6 km E of Ponderosa Pines, Montana",1488219957870,1488297309160,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80200879,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80200879&format=geojson,,,,,reviewed,0,4,mb,80200879,",mb80200879,",",mb,",",origin,phase-data,",8.0,0.13,0.18,97.0,md,earthquake,"M 0.5 - 6 km E of Ponderosa Pines, Montana",Point,"[-111.2851667, 46.031, 5]"
